ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,CLASS
0.13965958,0.6755452,9.416469,-0.007456851,-0.044741105,-0.014913702,0.08023316,0.69605255,9.784852,0.059426423,-0.020507354,-0.36838394,0.035421267,-0.004777223,-0.019236326,11473180074475,Still
0.13831238,0.70278853,9.41093,-0.007456851,-0.043675844,-0.018109495,0.08038285,0.69635195,9.784852,0.057929534,0.006436615,-0.37392244,0.03543352,-0.004789303,-0.019240927,11473230074475,Still
0.11570938,0.68497556,9.402099,-0.007456851,-0.043675844,-0.015978966,0.08053253,0.69725007,9.784852,0.03517685,-0.012274475,-0.38275406,0.035475284,-0.0047914125,-0.019230386,11473280074475,Still
0.123343505,0.72673875,9.411828,-0.008522116,-0.04580637,-0.015978966,0.08023316,0.6976991,9.784702,0.043110352,0.029039612,-0.37287462,0.03549922,-0.0047771474,-0.019236637,11473330074475,Still
0.13546829,0.6951544,9.369915,-0.0063915867,-0.044741105,-0.018109495,0.07978409,0.69754946,9.784702,0.055684205,-0.0023950196,-0.41478744,0.035492282,-0.0047594216,-0.019239932,11473380074475,Still
0.13756393,0.683329,9.37695,-0.008522116,-0.04261058,-0.015978966,0.08008347,0.6976991,9.784702,0.05748047,-0.014370117,-0.40775207,0.03550192,-0.004776163,-0.019236695,11473430074475,Still
0.15702347,0.67928743,9.379645,-0.008522116,-0.044741105,-0.014913702,0.08053253,0.6976991,9.784702,0.07649094,-0.018411713,-0.40505767,0.035502866,-0.004791891,-0.019227881,11473480074475,Still
0.12723541,0.68302965,9.419462,-0.008522116,-0.04261058,-0.017044231,0.08083191,0.6981482,9.784702,0.046403505,-0.015118561,-0.36524048,0.035521574,-0.004814308,-0.019237386,11473530074475,Still
0.1513353,0.6652167,9.39147,-0.007456851,-0.043675844,-0.017044231,0.081430666,0.6981482,9.784702,0.06990463,-0.032931518,-0.39323226,0.035524137,-0.0048384843,-0.019234557,11473580074475,Still
0.122295685,0.6956035,9.411978,-0.008522116,-0.044741105,-0.014913702,0.08113129,0.6981482,9.784702,0.0411644,-0.0025447083,-0.37272492,0.035521157,-0.004824767,-0.019224295,11473630074475,Still
